rank,field,number,acronym,title,comm,address
A,Computer Architecture / Parallel Computing / Storage Systems,1,ASPLOS,Architectural Support for Programming Languages ​​and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
A,Computer Architecture / Parallel Computing / Storage Systems,2,FAST,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
A,Computer Architecture / Parallel Computing / Storage Systems,3,HPCA,High-Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
A,Computer Architecture / Parallel Computing / Storage Systems,4,ISCA,International Symposium on Computer Architecture,ACM / IEEE,http://dblp.uni-trier.de/db/conf/isca/
A,Computer Architecture / Parallel Computing / Storage Systems,5,MICRO,MICRO,IEEE/ACM,http://dblp.uni-trier.de/db/journals/micro/
A,Computer Architecture / Parallel Computing / Storage Systems,6,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/
A,Computer Architecture / Parallel Computing / Storage Systems,7,ATC,USENIX Annul Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html
A,Computer Architecture / Parallel Computing / Storage Systems,8,PPoPP,Principles and Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
B,Computer Architecture / Parallel Computing / Storage Systems,1,HOT CHIPS,ACM Symposium on High Performance Chips,IEEE,http://dblp.uni-trier.de/db/conf/hotchips/ 
B,Computer Architecture / Parallel Computing / Storage Systems,2,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/
B,Computer Architecture / Parallel Computing / Storage Systems,3,PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/
B,Computer Architecture / Parallel Computing / Storage Systems,4,CGO,Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/
B,Computer Architecture / Parallel Computing / Storage Systems,5,DAC,Design Automation Conference,ACM,http://dblp.uni-trier.de/db/conf/eurodac/
B,Computer Architecture / Parallel Computing / Storage Systems,6,DATE,"Design, Automation & Test in Europe Conference",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/
B,Computer Architecture / Parallel Computing / Storage Systems,7,EuroSys,EuroSys,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
B,Computer Architecture / Parallel Computing / Storage Systems,8,HPDC,High-Performance Distributed Computing,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
B,Computer Architecture / Parallel Computing / Storage Systems,9,ICCD,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/
B,Computer Architecture / Parallel Computing / Storage Systems,10,ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/
B,Computer Architecture / Parallel Computing / Storage Systems,11,ICDCS,International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/
B,Computer Architecture / Parallel Computing / Storage Systems,12,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.uni-trier.de/db/conf/hipeac/
B,Computer Architecture / Parallel Computing / Storage Systems,13,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/sigmetrics/
B,Computer Architecture / Parallel Computing / Storage Systems,14,ICPP,International Conference on Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/icpp/
B,Computer Architecture / Parallel Computing / Storage Systems,15,ICS,International Conference on Supercomputing,ACM,http://dblp.uni-trier.de/db/conf/ics/
B,Computer Architecture / Parallel Computing / Storage Systems,16,IPDPS,International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
B,Computer Architecture / Parallel Computing / Storage Systems,17,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/
B,Computer Architecture / Parallel Computing / Storage Systems,18,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/
B,Computer Architecture / Parallel Computing / Storage Systems,19,LISA,Large Installation system Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/
B,Computer Architecture / Parallel Computing / Storage Systems,20,MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/
B,Computer Architecture / Parallel Computing / Storage Systems,21,PACT,Parallel Architectures and Compilation Techniques,IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/
B,Computer Architecture / Parallel Computing / Storage Systems,22,RTAS,Real-Time and Embedded Technology and Applications Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
B,Computer Architecture / Parallel Computing / Storage Systems,23,VEE,Virtual Execution Environments,ACM,http://dblp.uni-trier.de/db/conf/vee/
B,Computer Architecture / Parallel Computing / Storage Systems,24,CODES+ISSS,ACM/IEEE Conf. Hardware/Software Co-design and System Synthesis,ACM/ IEEE,http://dblp.uni-trier.de/db/conf/codes/index.html
B,Computer Architecture / Parallel Computing / Storage Systems,25,ITC,International Test Conference,IEEE,http://dblp.uni-trier.de/db/conf/itc/
B,Computer Architecture / Parallel Computing / Storage Systems,26,SOCC,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/
C,Computer Architecture / Parallel Computing / Storage Systems,1,CF,ACM International Conference on Computing Frontiers,ACM,http://dblp.uni-trier.de/db/conf/cf
C,Computer Architecture / Parallel Computing / Storage Systems,2,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,ACM/IEEE,http://dblp.uni-trier.de/db/conf/nocs
C,Computer Architecture / Parallel Computing / Storage Systems,3,ASP-DAC,Asia and South Pacific Design Automation Conference,ACM/IEEE,http://dblp.uni-trier.de/db/conf/aspdac
C,Computer Architecture / Parallel Computing / Storage Systems,4,ASAP,"Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.uni-trier.de/db/conf/asap
C,Computer Architecture / Parallel Computing / Storage Systems,5,CLUSTER,Cluster Computing,IEEE,http://dblp.uni-trier.de/db/journals/cluster/
C,Computer Architecture / Parallel Computing / Storage Systems,6,CCGRID,Cluster Computing and the Grid,IEEE,http://dblp.uni-trier.de/db/conf/ccgrid/
C,Computer Architecture / Parallel Computing / Storage Systems,7,Euro-Par,European Conference on Parallel and Distributed Computing,Springer,http://dblp.uni-trier.de/db/conf/europar/
C,Computer Architecture / Parallel Computing / Storage Systems,8,ETS,European Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ets/
C,Computer Architecture / Parallel Computing / Storage Systems,9,FPL,Field Programmable Logic and Applications,IEEE,http://dblp.uni-trier.de/db/conf/fpl/
C,Computer Architecture / Parallel Computing / Storage Systems,10,FCCM,Field-Programmable Custom Computing Machines,IEEE,http://dblp.uni-trier.de/db/conf/fccm/
C,Computer Architecture / Parallel Computing / Storage Systems,11,GLSVLSI,Great Lakes Symposium on VLSI Systems,ACM/IEEE,http://dblp.uni-trier.de/db/conf/glvlsi/
C,Computer Architecture / Parallel Computing / Storage Systems,12,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/hpcc/
C,Computer Architecture / Parallel Computing / Storage Systems,13,MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,http://dblp.uni-trier.de/db/conf/mascots/
C,Computer Architecture / Parallel Computing / Storage Systems,14,NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.uni-trier.de/db/conf/npc/
C,Computer Architecture / Parallel Computing / Storage Systems,15,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ica3pp/
C,Computer Architecture / Parallel Computing / Storage Systems,16,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/cases/index.html
C,Computer Architecture / Parallel Computing / Storage Systems,17,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/fpt/
C,Computer Architecture / Parallel Computing / Storage Systems,18,HPC,International Conference on High Performance Computing,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html
C,Computer Architecture / Parallel Computing / Storage Systems,19,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/icpads/
C,Computer Architecture / Parallel Computing / Storage Systems,20,ISCAS,International Symposium on Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iscas/
C,Computer Architecture / Parallel Computing / Storage Systems,21,ISLPED,International Symposium on Low Power Electronics and Design,ACM/IEEE,http://dblp.uni-trier.de/db/conf/islped/
C,Computer Architecture / Parallel Computing / Storage Systems,22,ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/ispd/
C,Computer Architecture / Parallel Computing / Storage Systems,23,Hot Interconnects,Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/hoti/
C,Computer Architecture / Parallel Computing / Storage Systems,24,VTS,VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/vts/
C,Computer Architecture / Parallel Computing / Storage Systems,25,ISPA,Sym. on Parallel and Distributed Processing with Applications,,http://dblp.uni-trier.de/db/conf/ispa/
C,Computer Architecture / Parallel Computing / Storage Systems,26,SYSTOR,ACM SIGOPS International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html
C,Computer Architecture / Parallel Computing / Storage Systems,27,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/
A,Computer Networks,1,MOBICOM,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/
A,Computer Networks,2,SIGCOMM,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html
A,Computer Networks,3,INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/
B,Computer Networks,1,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/
B,Computer Networks,2,CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/
B,Computer Networks,3,SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/secon/
B,Computer Networks,4,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/
B,Computer Networks,5,ICNP,International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/
B,Computer Networks,6,MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,ACM/IEEE,http://dblp.uni-trier.de/db/conf/mobihoc/
B,Computer Networks,7,MobiSys,"International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.uni-trier.de/db/conf/mobisys/
B,Computer Networks,8,IWQoS,International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/
B,Computer Networks,9,IMC,Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/
B,Computer Networks,10,NOSSDAV,Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/
A,Computer Networks,11,NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/
C,Computer Networks,1,ANCS,Architectures for Networking and Communications Systems,ACM/IEEE,http://dblp.uni-trier.de/db/conf/ancs/
C,Computer Networks,2,FORTE,Formal Techniques for Networked and Distributed Systems,Springer,http://dblp.uni-trier.de/db/conf/forte/
C,Computer Networks,3,LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/
C,Computer Networks,4,Globecom,"IEEE Global Communications Conference, incorporating the Global Internet Symposium",IEEE,http://dblp.uni-trier.de/db/conf/globecom/
C,Computer Networks,5,ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/
C,Computer Networks,6,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/
C,Computer Networks,7,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html
C,Computer Networks,8,P2P,IEEE International Conference on P2P Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/
C,Computer Networks,9,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/
C,Computer Networks,10,WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/
C,Computer Networks,11,ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/
C,Computer Networks,12,WCNC,IEEE Wireless Communications & Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/
C,Computer Networks,13,Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html
C,Computer Networks,14,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html
C,Computer Networks,15,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.uni-trier.de/db/conf/mswim/
C,Computer Networks,16,NOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/
C,Computer Networks,17,HotNets,The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/
C,Computer Networks,18,WASA,"International Conference on Wireless Algorithms, Systems, and Applications",Springer,http://dblp.uni-trier.de/db/conf/wasa/
A,IT Security,1,CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/
A,IT Security,2,CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/
A,IT Security,3,EUROCRYPT,European Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/
A,IT Security,4,IEEE Symposium on Security and Privacy,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/
A,IT Security,5,USENIX Security,Usenix Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/
B,IT Security,1,ACSAC,Annual Computer Security Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/acsac/
B,IT Security,2,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,http://dblp.uni-trier.de/db/conf/asiacrypt/
B,IT Security,3,ESORICS,EuropeanSymposiumonResearchinComputerSecurity,Springer,http://dblp.uni-trier.de/db/conf/esorics/
B,IT Security,4,FSE,Fast Software Encryption,Springer,http://dblp.uni-trier.de/db/conf/fse/
B,IT Security,5,NDSS,ISOC Network and Distributed System Workshop,ISOC,http://dblp.uni-trier.de/db/conf/ndss/
B,IT Security,6,CSFW,IEEE Computer Security Foundations Workshop,IEEE,http://dblp.uni-trier.de/db/conf/csfw/
B,IT Security,7,RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,http://dblp.uni-trier.de/db/conf/raid/
B,IT Security,8,PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,http://dblp.uni-trier.de/db/conf/pkc/
B,IT Security,9,DSN,The International Conference on Dependable Systems and Networks,IEEE/IFIP,http://dblp.uni-trier.de/db/conf/dsn/
B,IT Security,10,TCC,Theory of Cryptography Conference,Springer,http://dblp.uni-trier.de/db/conf/tcc/
B,IT Security,11,SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/srds/
B,IT Security,12,CHES,Workshop on Cryptographic Hardware and Embedded Systems,Springer,http://dblp.uni-trier.de/db/conf/ches/
C,IT Security,1,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/wisec/
C,IT Security,2,ACM MM&SEC,ACM Multimedia and Security Workshop,ACM,http://dblp.uni-trier.de/db/conf/ih/
C,IT Security,3,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/sacmat/
C,IT Security,4,ASIACCS,"ACM Symposium on Information, Computer and Communications Security",ACM,http://dblp.uni-trier.de/db/conf/ccs/
C,IT Security,5,DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/drm/
C,IT Security,6,ACNS,Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/acns/
C,IT Security,7,ACISP,AustralasiaConferenceonInformation Security and Privacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/
C,IT Security,8,DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/
C,IT Security,9,FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/
C,IT Security,10,DIMVA,Detection of Intrusions and Malware &Vulnerability Assessment,"SIDAR, GI, Springer",http://dblp.uni-trier.de/db/conf/dimva/
C,IT Security,11,SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/
C,IT Security,12,IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,Springer,http://dblp.uni-trier.de/db/conf/ifip11-9/
C,IT Security,13,ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/
C,IT Security,14,ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/
C,IT Security,15,SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/
C,IT Security,16,NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/
C,IT Security,17,CT-RSA,"RSA Conference, Cryptographers' Track",Springer,http://dblp.uni-trier.de/db/conf/ctrsa/
C,IT Security,18,SOUPS,Symposium On Usable Privacy and Security,ACM,http://dblp.uni-trier.de/db/conf/soups/
C,IT Security,20,SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/
C,IT Security,21,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/trustcom/
C,IT Security,22,PAM,Passive and Active Measurement Conference,Springer,http://dblp.uni-trier.de/db/conf/pam/
C,IT Security,23,PETS,Privacy Enhancing Technologies Symposium,Springer,http://dblp.uni-trier.de/db/conf/pet/
C,IT Security,24,ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/
A,Software Engineering / System Software / Programming Languages,1,FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/
A,Software Engineering / System Software / Programming Languages,2,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,http://dblp.uni-trier.de/db/conf/oopsla/
A,Software Engineering / System Software / Programming Languages,3,ICSE,International Conference on Software Engineering,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/
A,Software Engineering / System Software / Programming Languages,4,OSDI,USENIX Symposium on Operating Systems Design and Implementations,USENIX,http://dblp.uni-trier.de/db/conf/osdi/
A,Software Engineering / System Software / Programming Languages,5,PLDI,ACM SIGPLAN Symposium on Programming Language Design & Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/
A,Software Engineering / System Software / Programming Languages,6,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/
A,Software Engineering / System Software / Programming Languages,7,SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/
A,Software Engineering / System Software / Programming Languages,8,ASE,International Conference on Automated Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/
B,Software Engineering / System Software / Programming Languages,1,ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/
B,Software Engineering / System Software / Programming Languages,2,ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/
B,Software Engineering / System Software / Programming Languages,3,FM,World Congress on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/
B,Software Engineering / System Software / Programming Languages,4,ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/
B,Software Engineering / System Software / Programming Languages,5,RE,IEEE International Requirement Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/
B,Software Engineering / System Software / Programming Languages,6,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/
B,Software Engineering / System Software / Programming Languages,7,ICFP,International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/
B,Software Engineering / System Software / Programming Languages,8,LCTES,"International Conference on Languages, Compilers, Tools and Theory for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/lctrts/
B,Software Engineering / System Software / Programming Languages,9,MoDELS,International Conference on Model Driven Engineering Languages ​​and Systems,"ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/
B,Software Engineering / System Software / Programming Languages,10,CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/
B,Software Engineering / System Software / Programming Languages,11,ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/
B,Software Engineering / System Software / Programming Languages,12,ICSME,International Conference on Software Maintenance and Evolution,IEEE,http://dblp.uni-trier.de/db/conf/icsm/
B,Software Engineering / System Software / Programming Languages,13,VMCAI,"International Conference on Verification, Model Checking, and Abstract Interpretation",Springer,http://dblp.uni-trier.de/db/conf/vmcai/
B,Software Engineering / System Software / Programming Languages,14,ICWS,International Conference on Web Services (Research Track),IEEE,http://dblp.uni-trier.de/db/conf/icws/
B,Software Engineering / System Software / Programming Languages,15,SAS,International Static Analysis Symposium,Springer,http://dblp.uni-trier.de/db/conf/sas/
B,Software Engineering / System Software / Programming Languages,16,ISSRE,International Symposium on Software Reliability Engineering,IEEE,http://dblp.uni-trier.de/db/conf/issre/
B,Software Engineering / System Software / Programming Languages,17,ISSTA,International Symposium on Software Testing and Analysis,ACM,http://dblp.uni-trier.de/db/conf/issta/
B,Software Engineering / System Software / Programming Languages,18,Middleware,Conference on middleware,ACM/IFIP/,http://dblp.uni-trier.de/db/conf/middleware/
B,Software Engineering / System Software / Programming Languages,19,SANER,"International Conference on Software Analysis, Evolution, and Reengineering",IEEE,http://dblp.uni-trier.de/db/conf/wcre/
B,Software Engineering / System Software / Programming Languages,20,HotOS,USENIX Workshop on Hot Topics in Operating Systems,USENIX,http://dblp.uni-trier.de/db/conf/hotos/
B,Software Engineering / System Software / Programming Languages,21,ESEM,International Symposium on Empirical Software Engineering and Measurement,ACM/IEEE,http://dblp.uni-trier.de/db/conf/esem/
C,Software Engineering / System Software / Programming Languages,1,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,ACM,http://dblp.uni-trier.de/db/conf/paste/
C,Software Engineering / System Software / Programming Languages,2,APLAS,Asian Symposium on Programming Languages ​​and Systems,Springer,http://dblp.uni-trier.de/db/conf/aplas/
C,Software Engineering / System Software / Programming Languages,3,APSEC,Asia-Pacific Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/apsec/
