rank,field,number,acronym,title,comm,address
C,Software Engineering / System Software / Programming Languages,4,COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/
C,Software Engineering / System Software / Programming Languages,5,ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/
C,Software Engineering / System Software / Programming Languages,6,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/
C,Software Engineering / System Software / Programming Languages,7,ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/
C,Software Engineering / System Software / Programming Languages,8,TOOLS,"International Conference on Objects, Models, Components, Patterns",Springer,http://dblp.uni-trier.de/db/conf/tools/index.html
C,Software Engineering / System Software / Programming Languages,9,PEPM,ACM SIGPLAN Symposium on Partial Evaluation and Semantics Based Programming Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/
C,Software Engineering / System Software / Programming Languages,10,QRS,"The IEEE International Conference on Software Quality, Reliability and Security",IEEE,http://dblp.uni-trier.de/db/conf/qrs/
C,Software Engineering / System Software / Programming Languages,11,SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/
C,Software Engineering / System Software / Programming Languages,12,ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/
C,Software Engineering / System Software / Programming Languages,13,ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/
C,Software Engineering / System Software / Programming Languages,14,SPIN,International SPIN Workshop on Model Checking of Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html
C,Software Engineering / System Software / Programming Languages,15,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/
C,Software Engineering / System Software / Programming Languages,16,TASE,International Symposium on Theoretical Aspects of Software Engineering,IEEE,http://dblp.uni-trier.de/db/conf/tase/
C,Software Engineering / System Software / Programming Languages,17,ICST,"The IEEE International Conference on Software Testing, Verification and Validation",IEEE,http://dblp.uni-trier.de/db/conf/icst/
C,Software Engineering / System Software / Programming Languages,18,ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/
C,Software Engineering / System Software / Programming Languages,19,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/
C,Software Engineering / System Software / Programming Languages,20,SCC,International Conference on Service Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/
C,Software Engineering / System Software / Programming Languages,21,ICSSP,International Conference on Software and System Process,ISPA,http://dblp.uni-trier.de/db/conf/ispw/
C,Software Engineering / System Software / Programming Languages,22,MSR,Working Conference on Mining Software Repositories,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/
C,Software Engineering / System Software / Programming Languages,23,REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/
C,Software Engineering / System Software / Programming Languages,24,WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/
C,Software Engineering / System Software / Programming Languages,25,EASE,Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/
A,Database / Data Mining / Content Retrieval,1,SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.uni-trier.de/db/conf/sigmod/
A,Database / Data Mining / Content Retrieval,2,SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/
A,Database / Data Mining / Content Retrieval,3,SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/
A,Database / Data Mining / Content Retrieval,4,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/vldb/
A,Database / Data Mining / Content Retrieval,5,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/
B,Database / Data Mining / Content Retrieval,1,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/
B,Database / Data Mining / Content Retrieval,2,PODS,ACM SIGMOD Conference on Principles of DB Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/
B,Database / Data Mining / Content Retrieval,3,DASFAA,Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/
B,Database / Data Mining / Content Retrieval,4,ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/
B,Database / Data Mining / Content Retrieval,4,PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/
B,Database / Data Mining / Content Retrieval,5,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/
B,Database / Data Mining / Content Retrieval,6,ICDM,International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/
B,Database / Data Mining / Content Retrieval,7,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/
B,Database / Data Mining / Content Retrieval,8,EDBT,International Conference on Extending DB Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/
B,Database / Data Mining / Content Retrieval,9,CIDR,International Conference on Innovation Database Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/
B,Database / Data Mining / Content Retrieval,10,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/conf/sdm/
B,Database / Data Mining / Content Retrieval,11,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/
C,Database / Data Mining / Content Retrieval,1,DEXA,Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/
C,Database / Data Mining / Content Retrieval,2,ECIR,European Conference on IR Research,Springer,http://dblp.uni-trier.de/db/conf/ecir/
C,Database / Data Mining / Content Retrieval,3,WebDB,International ACM Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/
C,Database / Data Mining / Content Retrieval,4,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/
C,Database / Data Mining / Content Retrieval,5,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/
C,Database / Data Mining / Content Retrieval,6,SSDBM,International Conference on Scientific and Statistical DB Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/
C,Database / Data Mining / Content Retrieval,7,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/
C,Database / Data Mining / Content Retrieval,8,SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.uni-trier.de/db/conf/ssd/
C,Database / Data Mining / Content Retrieval,9,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/
C,Database / Data Mining / Content Retrieval,10,APWeb,The Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/
C,Database / Data Mining / Content Retrieval,11,WISE,Web Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/wise/
C,Database / Data Mining / Content Retrieval,12,ESWC,Extended Semantic Web Conference,Elsevier,http://dblp.uni-trier.de/db/conf/esws/
A,Computer Science Theory,1,STOC,ACM Symposium on Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/
A,Computer Science Theory,2,FOCS,IEEE Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/
A,Computer Science Theory,3,LICS,IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/
A,Computer Science Theory,4,CAV,Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/
B,Computer Science Theory,1,SoCG,ACM Symposium on Computational Geometry,ACM,http://dblp.uni-trier.de/db/conf/compgeom/
B,Computer Science Theory,2,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/
B,Computer Science Theory,3,CADE,Conference on Automated Deduction/The International Joint Conference on Automated Reasoning,Springer,http://dblp.uni-trier.de/db/conf/cade/
B,Computer Science Theory,4,CCC,IEEE Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/
B,Computer Science Theory,5,ICALP,"International Colloquium on Automata, Languages ​​and Programming",Springer,http://dblp.uni-trier.de/db/conf/icalp/
B,Computer Science Theory,6,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/
B,Computer Science Theory,7,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/
B,Computer Science Theory,8,ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/
C,Computer Science Theory,1,CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/conf/csl/
C,Computer Science Theory,2,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/
C,Computer Science Theory,3,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/conf/ipco/
C,Computer Science Theory,4,RTA,International Conference on Integer Programming and Combinatorial Optimization Applications,Springer,http://dblp.uni-trier.de/db/conf/rta/
C,Computer Science Theory,5,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/conf/isaac/
C,Computer Science Theory,6,MFCS,Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/mfcs/
C,Computer Science Theory,7,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/stacs/
C,Computer Science Theory,8,FMCAD,Formal Method in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/conf/fmcad/
C,Computer Science Theory,9,SAT,Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/
C,Computer Science Theory,10,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/conf/ictac/
A,Computer Graphics and Multimedia,1,MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/
A,Computer Graphics and Multimedia,2,SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html
A,Computer Graphics and Multimedia,3,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html
A,Computer Graphics and Multimedia,4,VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/
B,Computer Graphics and Multimedia,1,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/
B,Computer Graphics and Multimedia,2,si3D,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.uni-trier.de/db/conf/si3d/
B,Computer Graphics and Multimedia,3,SCA,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html
B,Computer Graphics and Multimedia,4,DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/
B,Computer Graphics and Multimedia,5,EUROGRAPHICS,Eurographics,Wiley/ Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/
B,Computer Graphics and Multimedia,6,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/
B,Computer Graphics and Multimedia,7,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/
B,Computer Graphics and Multimedia,8,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/
B,Computer Graphics and Multimedia,9,ICME,IEEE International Conference on Multimedia& Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/
B,Computer Graphics and Multimedia,10,PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html
B,Computer Graphics and Multimedia,11,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/
B,Computer Graphics and Multimedia,12,ICASSP,"IEEE International Conference on Acoustics, Speech and SP",IEEE,http://dblp.uni-trier.de/db/conf/icassp/
C,Computer Graphics and Multimedia,1,CASA,Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/
C,Computer Graphics and Multimedia,2,CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/
C,Computer Graphics and Multimedia,3,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/
C,Computer Graphics and Multimedia,4,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/
C,Computer Graphics and Multimedia,5,ICIP,International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/
C,Computer Graphics and Multimedia,6,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html
C,Computer Graphics and Multimedia,7,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
C,Computer Graphics and Multimedia,8,PCM,Pacific-Rim Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/pcm/
C,Computer Graphics and Multimedia,9,SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/
C,Computer Graphics and Multimedia,10,INTERSPEECH,Conference of the International Speech Communication Association,,http://dblp.uni-trier.de/db/conf/interspeech/index.html
C,Computer Graphics and Multimedia,11,VRST,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp2.uni-trier.de/db/conf/vrst/
A,Artificial Intelligence,1,AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/
A,Artificial Intelligence,2,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/
A,Artificial Intelligence,3,ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/
A,Artificial Intelligence,4,ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/
A,Artificial Intelligence,5,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/
A,Artificial Intelligence,6,NIPS,Annual Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/
A,Artificial Intelligence,7,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/
B,Artificial Intelligence,1,COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/
B,Artificial Intelligence,2,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/
B,Artificial Intelligence,3,ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/
B,Artificial Intelligence,4,ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/
B,Artificial Intelligence,5,ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/
B,Artificial Intelligence,6,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/
B,Artificial Intelligence,7,ICCBR,International Conference on Case-Based Reasoning,Springer,http://dblp.uni-trier.de/db/conf/iccbr/
B,Artificial Intelligence,8,COLING,International Conference on Computational Linguistics,ACM,http://dblp.uni-trier.de/db/conf/coling/
B,Artificial Intelligence,9,KR,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/
B,Artificial Intelligence,10,UAI,International Conference on Uncertaintyin Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/
B,Artificial Intelligence,11,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,http://dblp.uni-trier.de/db/conf/atal/index.html
B,Artificial Intelligence,12,PPSN,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/
C,Artificial Intelligence,1,ACCV,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/
C,Artificial Intelligence,2,CoNLL,Conference on Natural Language Learning,CoNLL,http://dblp.uni-trier.de/db/conf/conll
C,Artificial Intelligence,3,GECCO,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/
C,Artificial Intelligence,4,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/
C,Artificial Intelligence,5,ALT,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/
C,Artificial Intelligence,6,ICANN,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/
C,Artificial Intelligence,7,FGR,International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/
C,Artificial Intelligence,8,ICDAR,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/
C,Artificial Intelligence,9,ILP,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/
C,Artificial Intelligence,10,KSEM,"International conference on Knowledge Science,Engineering and Management",Springer,http://dblp.uni-trier.de/db/conf/ksem/
C,Artificial Intelligence,11,ICONIP,International Conference on Neural Information Processing,Springer,http://dblp.uni-trier.de/db/conf/iconip/
C,Artificial Intelligence,12,ICPR,International Conference on Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icpr/
C,Artificial Intelligence,13,ICB,International Joint Conference on Biometrics,IEEE,http://dblp.uni-trier.de/db/conf/icb/
C,Artificial Intelligence,14,IJCNN,International Joint Conference on Neural Networks,IEEE,http://dblp.uni-trier.de/db/conf/ijcnn/
C,Artificial Intelligence,15,PRICAI,Pacific Rim International Conference on Artificial Intelligence,Springer,http://dblp.uni-trier.de/db/conf/pricai/
C,Artificial Intelligence,16,NAACL,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,NAACL,http://dblp.uni-trier.de/db/conf/naacl/
C,Artificial Intelligence,17,BMVC,British Machine Vision Conference,British Machine Vision Association,http://dblp.uni-trier.de/db/conf/bmvc/
C,Artificial Intelligence,18,IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iros/
C,Artificial Intelligence,19,AISTATS,Artificial Intelligence and Statistics,JMLR,http://dblp.uni-trier.de/db/conf/aistats/
C,Artificial Intelligence,20,ACML,Asian Conf. on Machine Learning,JMLR,http://dblp.uni-trier.de/db/conf/acml/
A,Human Machine Interaction and Pervasive Computing,1,CHI,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.uni-trier.de/db/conf/chi
A,Human Machine Interaction and Pervasive Computing,2,UbiComp,ACM International Conference on Ubiquitous Computing,ACM,http://dblp.uni-trier.de/db/conf/huc/
A,Human Machine Interaction and Pervasive Computing,3,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,ACM,http://dblp.uni-trier.de/db/conf/cscw
B,Human Machine Interaction and Pervasive Computing,1,IUI,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.uni-trier.de/db/conf/iui/
B,Human Machine Interaction and Pervasive Computing,2,ITS,ACM International Conference on Interactive Tabletops and Surfaces,ACM,http://dblp.uni-trier.de/db/conf/tabletop/
B,Human Machine Interaction and Pervasive Computing,3,UIST,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/uist/
B,Human Machine Interaction and Pervasive Computing,4,ECSCW,European Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/conf/ecscw/
B,Human Machine Interaction and Pervasive Computing,5,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,ACM,http://dblp.uni-trier.de/db/conf/mhci/
B,Human Machine Interaction and Pervasive Computing,6,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/percom/
B,Human Machine Interaction and Pervasive Computing,7,GROUP,ACM Conference on Supporting Group Work,ACM,http://dblp.uni-trier.de/db/conf/group/
C,Human Machine Interaction and Pervasive Computing,1,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.uni-trier.de/db/conf/assets
C,Human Machine Interaction and Pervasive Computing,2,DIS,ACM Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis/
C,Human Machine Interaction and Pervasive Computing,3,GI,Graphics Interface conference,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/
C,Human Machine Interaction and Pervasive Computing,4,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/
C,Human Machine Interaction and Pervasive Computing,5,INTERACT,IFIP TC13 Conference on Human-Computer Interaction,IFIP,http://dblp.uni-trier.de/db/conf/interact/
C,Human Machine Interaction and Pervasive Computing,6,CoopIS,International Conference on Cooperative Information Systems,Springer,http://dblp.uni-trier.de/db/conf/coopis/
C,Human Machine Interaction and Pervasive Computing,7,ICMI,ACM International Conference on Multimodal Interaction,ACM,http://dblp.uni-trier.de/db/conf/icmi/
C,Human Machine Interaction and Pervasive Computing,8,IDC,Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/
C,Human Machine Interaction and Pervasive Computing,9,AVI,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.uni-trier.de/db/conf/avi/
C,Human Machine Interaction and Pervasive Computing,10,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/
C,Human Machine Interaction and Pervasive Computing,11,DIS,ACM Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis
C,Human Machine Interaction and Pervasive Computing,12,WHC,IEEE World Haptics Conference,IEEE,http://dblp.uni-trier.de/db/conf/haptics/
C,Human Machine Interaction and Pervasive Computing,13,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/
C,Human Machine Interaction and Pervasive Computing,14,Collaborate Com,International Conference on Collaborative Computing,Springer,http://dblp.uni-trier.de/db/conf/colcom/
A,Cross/Integrated/Emerging,1,WWW,International World Wide Web Conferences,ACM,http://dblp.uni-trier.de/db/conf/www/
A,Cross/Integrated/Emerging,2,RTSS,Real-Time Systems Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtss/
B,Cross/Integrated/Emerging,1,EMSOFT,International Conference on Embedded Software,ACM/IEEE/IFIP,http://dblp.uni-trier.de/db/conf/emsoft/
B,Cross/Integrated/Emerging,2,ISMB,International conference on Intelligent Systems for Molecular Biology,Oxford Journals,http://dblp.uni-trier.de/db/conf/ismb/
B,Cross/Integrated/Emerging,3,CogSci,Cognitive Science Society Annual Conference,Psychology Press,http://dblp.uni-trier.de/db/conf/cogsci/
B,Cross/Integrated/Emerging,4,RECOMB,International Conference on Research in Computational Molecular Biology,Springer,http://dblp.uni-trier.de/db/conf/recomb/
B,Cross/Integrated/Emerging,5,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,IEEE,http://dblp.uni-trier.de/db/conf/bibm/
C,Cross/Integrated/Emerging,1,AMIA,American Medical Informatics Association Annual Symposium,AMIA,http://dblp.uni-trier.de/db/conf/amia/
C,Cross/Integrated/Emerging,2,APBC,Asia Pacific Bioinformatics Conference,BioMed Central,http://dblp.uni-trier.de/db/conf/apbc/
C,Cross/Integrated/Emerging,3,COSIT,International Conference on Spatial Information Theory,ACM,http://dblp.uni-trier.de/db/conf/cosit/
C,Cross/Integrated/Emerging,4,CLOUD,IEEE International Conference on Cloud Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEcloud/
